Id2,Majority,Majority_woE,Majority_woES,MAX_Majority,MAX_Majority_P,MAX_Majority_woE,MAX_Majority_woE_P,MAX_Majority_woES,MAX_Majority_woES_P,Total,Speak_only_English,Speak_only_English_P,Spanish_or_Spanish_Creole,Spanish_or_Spanish_Creole_P,French_incl_Patois_Cajun,French_incl_Patois_Cajun_P,French_Creole,French_Creole_P,Other_Native_North_American_languages,Other_Native_North_American_languages_P,Hungarian,Hungarian_P,Arabic,Arabic_P,Hebrew,Hebrew_P,African_languages,African_languages_P,Other_and_unspecified_languages,Other_and_unspecified_languages_P,Italian,Italian_P,Portuguese_or_Portuguese_Creole,Portuguese_or_Portuguese_Creole_P,German,German_P,Yiddish,Yiddish_P,Other_West_Germanic_languages,Other_West_Germanic_languages_P,Scandinavian_languages,Scandinavian_languages_P,Greek,Greek_P,Russian,Russian_P,Polish,Polish_P,Serbo-Croatian,Serbo-Croatian_P,Other_Slavic_languages,Other_Slavic_languages_P,Armenian,Armenian_P,Persian,Persian_P,Gujarati,Gujarati_P,Hindi,Hindi_P,Urdu,Urdu_P,Other_Indic_languages,Other_Indic_languages_P,Other_Indo-European_languages,Other_Indo-European_languages_P,Chinese,Chinese_P,Japanese,Japanese_P,Korean,Korean_P,Mon-Khmer_Cambodian,Mon-Khmer_Cambodian_P,Hmong,Hmong_P,Thai,Thai_P,Laotian,Laotian_P,Vietnamese,Vietnamese_P,Other_Asian_languages,Other_Asian_languages_P,Tagalog,Tagalog_P,Other_Pacific_Island_languages,Other_Pacific_Island_languages_P,Navajo,Navajo_P
48085032013,Speak only English,Spanish or Spanish Creole,Vietnamese,2829,48.40034217,1577,26.98032506,277,4.739093242,5845,2829,48.4,1577,26.98,0,0,0,0,0,0,0,0,0,0,0,0,125,2.14,0,0,0,0,0,0,36,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0.41,52,0.89,213,3.64,94,1.61,116,1.98,0,0,114,1.95,25,0.43,130,2.22,0,0,0,0,20,0.34,0,0,277,4.74,180,3.08,0,0,33,0.56,0,0
48087950300,Speak only English,Spanish or Spanish Creole,Arabic,2061,73.11103228,719,25.5054984,14,0.496630011,2819,2061,73.11,719,25.51,6,0.21,0,0,0,0,0,0,14,0.5,0,0,0,0,0,0,0,0,4,0.14,13,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,0,0,0,0,0,0,0,0
48089750100,Speak only English,Spanish or Spanish Creole,French incl Patois Cajun,3251,70.42894281,1365,29.57105719,0,0,4616,3251,70.43,1365,29.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48089750200,Speak only English,Spanish or Spanish Creole,German,1200,69.32409012,518,29.9248989,8,0.462160601,1731,1200,69.32,518,29.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48089750300,Speak only English,Spanish or Spanish Creole,Tagalog,4086,86.99169683,550,11.70960187,34,0.723866298,4697,4086,86.99,550,11.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.09,0,0,0,0,0,0,0,0,0,0,0,0,34,0.72,0,0,0,0
48089750400,Speak only English,Spanish or Spanish Creole,Other Slavic languages,3949,79.77777778,854,17.25252525,77,1.555555556,4950,3949,79.78,854,17.25,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48089750500,Speak only English,Spanish or Spanish Creole,German,2632,73.95335768,880,24.72604664,26,0.730542287,3559,2632,73.95,880,24.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310100,Speak only English,Spanish or Spanish Creole,German,2329,73.23899371,831,26.13207547,20,0.628930818,3180,2329,73.24,831,26.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48091310200,Speak only English,Spanish or Spanish Creole,German,1685,62.87313433,877,32.7238806,48,1.791044776,2680,1685,62.87,877,32.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.79,0,0,0,0,8,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.72,0,0,0,0,0,0,16,0.6,0,0,0,0,0,0,0,0
48091310300,Speak only English,Spanish or Spanish Creole,German,5690,82.83592954,888,12.92764595,224,3.261027806,6869,5690,82.84,888,12.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,3.26,0,0,0,0,16,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0.74
